,RP1,RP2,RP3,RP4,RP5,RP6,RP7,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP_sum,LP_mean,LP_std,LP_var,LP_min,LP_max,LP_sma,LP_quantile,LP_median,LP_mad,LP_skew,LP_kurt,RAX,RAY,RAZ,RA_sum,RA_mean,RA_std,RA_var,RA_min,RA_max,RA_sma,RA_quantile,RA_median,RA_mad,RA_skew,LAX,LAY,LAZ,LA_sum,LA_mean,LA_std,LA_var,LA_min,LA_max,LA_sma,LA_quantile,LA_median,LA_mad,LA_skew,label
230,12,28,28,26,25,23,45,38,1,1,8,9,6,3,66,9.428571428571429,12.998168369134973,168.95238095238093,1,38,9.142857142857157,6.0,6.0,8.163265306122451,2.3180744146079535,5.689730848571816,48,80,36,164,54.666666666666664,22.744962812309307,517.3333333333334,36,80,106.66666666666663,48.0,48.0,16.88888888888889,1.2056594965075222,56,224,120,400,133.33333333333334,84.78993650978478,7189.333333333333,56,224,121.06666666666668,120.0,120.0,60.44444444444445,0.6901328492919037,5
231,11,27,27,26,24,23,43,37,1,1,8,9,5,3,64,9.142857142857142,12.681069505744528,160.80952380952377,1,37,9.142857142857157,5.0,5.0,7.959183673469385,2.3151519117881127,5.657219258042417,40,52,228,320,106.66666666666667,105.24891131661805,11077.333333333332,40,228,111.73333333333328,52.0,52.0,80.8888888888889,1.7067548289026457,240,100,216,556,185.33333333333334,74.86877408728778,5605.333333333333,100,240,126.13333333333335,216.0,216.0,56.888888888888886,-1.5339747973643865,5
232,8,27,27,26,24,23,43,36,1,1,8,9,5,3,63,9.0,12.315302134607444,151.66666666666666,1,36,9.114285714285728,5.0,5.0,7.714285714285714,2.2958304915957624,5.579259509721048,68,44,60,172,57.333333333333336,12.220201853215574,149.33333333333334,44,68,93.86666666666663,60.0,60.0,8.888888888888888,-0.9352195295828264,152,96,72,320,106.66666666666667,41.05281151557507,1685.333333333333,72,152,132.26666666666668,96.0,96.0,30.222222222222225,1.0902905798280025,5
233,5,27,27,26,24,23,43,37,1,1,10,9,5,2,65,9.285714285714286,12.763414978161679,162.9047619047619,1,37,9.200000000000014,5.0,5.0,8.122448979591836,2.2089728242461852,5.195433692256701,104,8,60,172,57.333333333333336,48.05552344250693,2309.3333333333335,8,104,74.39999999999998,60.0,60.0,32.888888888888886,-0.24894221604219421,188,80,184,452,150.66666666666666,61.23180001709351,3749.333333333333,80,188,147.2,184.0,184.0,47.111111111111114,-1.7237391826895363,5
234,1,27,27,26,24,23,44,34,3,1,10,9,5,2,64,9.142857142857142,11.480832888319723,131.8095238095238,1,34,9.200000000000014,5.0,5.0,7.3469387755102025,2.182105134423755,5.088769358314682,104,8,20,132,44.0,52.306787322488084,2736.0,8,104,63.99999999999998,20.0,20.0,40.0,1.6300591617118865,60,52,152,264,88.0,55.569775957799216,3088.0,52,152,132.8,60.0,60.0,42.666666666666664,1.691753495023875,5
235,1,27,27,26,24,23,43,33,5,1,10,9,5,2,65,9.285714285714286,10.96531327587567,120.23809523809524,1,33,9.171428571428585,5.0,5.0,6.979591836734693,2.1632571256669015,5.073399737280658,112,240,88,440,146.66666666666666,81.71495171223766,6677.333333333334,88,240,82.39999999999996,112.0,112.0,62.22222222222222,1.5654824484776428,132,0,200,332,110.66666666666667,101.6923464835645,10341.333333333334,0,200,128.26666666666665,132.0,132.0,73.77777777777777,-0.9024783575086065,5
236,1,26,27,26,24,23,43,31,7,1,10,8,5,2,64,9.142857142857142,10.155927192672126,103.14285714285712,1,31,9.171428571428587,7.0,7.0,6.489795918367345,2.1062710797598583,4.93255576614667,36,212,148,396,132.0,89.08422980528034,7936.0,36,212,87.46666666666661,148.0,148.0,64.0,-0.7821521217295038,156,164,152,472,157.33333333333334,6.110100926607787,37.333333333333336,152,164,122.66666666666666,156.0,156.0,4.444444444444447,0.9352195295828105,5
237,1,26,26,26,24,23,42,30,8,1,10,8,4,1,62,8.857142857142858,9.973775136636602,99.47619047619048,1,30,9.142857142857158,8.0,8.0,6.36734693877551,1.967697358527263,4.409582254124214,88,116,28,232,77.33333333333333,44.959240800232976,2021.3333333333335,28,116,91.46666666666661,88.0,88.0,32.88888888888889,-1.0075382107890491,120,40,168,328,109.33333333333333,64.66323014923809,4181.333333333334,40,168,123.2,120.0,120.0,46.22222222222223,-0.722108645721135,5
238,1,26,26,25,23,23,42,27,9,2,10,8,4,1,61,8.714285714285714,8.788520651286838,77.23809523809523,1,27,9.028571428571444,8.0,8.0,5.673469387755103,1.8044219707293823,3.8205178183454667,108,132,0,240,80.0,70.31358332498779,4944.0,0,132,95.99999999999994,108.0,108.0,53.333333333333336,-1.5078084839697166,180,228,148,556,185.33333333333334,40.26578365477734,1621.3333333333335,148,228,130.13333333333335,180.0,180.0,28.444444444444446,0.5855827262813856,5
239,1,24,24,24,22,22,40,22,8,5,8,7,3,1,54,7.714285714285714,6.824326235712107,46.57142857142857,1,22,8.742857142857158,7.0,7.0,4.244897959183674,1.8263786417123142,4.116692385863223,40,44,128,212,70.66666666666667,49.6923870762246,2469.3333333333335,40,128,101.33333333333329,44.0,44.0,38.22222222222222,1.7194336920818585,128,156,236,520,173.33333333333334,56.04759881862321,3141.3333333333335,128,236,147.20000000000002,156.0,156.0,41.77777777777778,1.258571279042719,5
